"tackle_oppId","tackle","s_diff","a_diff","x_diff","y_diff","o_diff","o","x_los_ct","y_los_ct","s_diff_ct","a_diff_ct","x_diff_ct","y_diff_ct","o_diff_ct","o_ct","dir_diff","dir_diff_ct"
10002,1,0.0199999999999996,-0.18,0.420000000000002,-1.1,-221.02,229.4,23.13,25.1633333333333,0.0400000000000009,-0.0699999999999998,0.289999999999992,-0.940000000000005,-221.02,319.4,-13.81,-13.81
10004,1,-4.05,3.04,1.27,-0.370000000000005,-174.06,174.44,-0.259999999999991,5.92333333333334,-3.36,2.52,0.830000000000013,-0.399999999999999,-174.06,264.44,-54.16,-54.16
10007,1,-1.8,0.42,0.929999999999993,0.609999999999999,171.46,129.67,6.59,14.3933333333333,-1.26,0.59,0.77000000000001,0.490000000000002,-188.54,219.67,341.64,341.64
10008,0,-1.56,2.32,0.370000000000005,-0.789999999999999,217.54,83.05,5.81999999999999,11.8233333333333,-2.35,2.97,0.279999999999987,-1.05,-142.46,173.05,16.34,16.34
10011,1,-0.2,-2.17,-0.329999999999998,-0.879999999999999,-208.38,284.19,-1.95,-1.35666666666667,0.22,-2.18,-0.409999999999997,0.859999999999999,-43.38,165.81,-43.28,11.23
10013,1,2.2,-0.27,1.2,-0.520000000000003,15.64,194.23,19.27,23.4533333333333,2.2,-0.2,0.990000000000002,-0.370000000000005,15.64,284.23,-16.69,-16.69
10016,1,0.640000000000001,0.94,0.0300000000000011,-1.22000000000001,38.7,277.06,9.18000000000001,18.1533333333333,0.66,1.03,-0.0999999999999943,-1,38.7,7.06,-14.7,-14.7
10018,1,0.88,-0.33,0.810000000000002,0.119999999999997,-157.01,191,2.98,6.49333333333333,0.94,0.01,0.910000000000011,0.109999999999999,-157.01,281,-253.16,-253.16
10020,1,-1.5,-1.02,0.370000000000005,-1.05,172.22,93.89,4.3,-0.796666666666667,-1.17,-1.12,0.140000000000001,0.93,67.07,176.11,-77.26,-38.86
10023,1,-2.72,-0.59,1.58000000000001,0.130000000000003,-149.42,180.61,4.32,15.8233333333333,-2.64,-0.850000000000001,0.969999999999999,0,210.58,90.61,-271.68,-271.68
10025,1,-3.97,-0.91,0.340000000000003,-0.890000000000001,-72.88,131.23,1.22,0.673333333333332,-3.96,-0.62,-0.109999999999999,-1.02,287.12,41.23,-241.71,-241.71
10027,1,-2.78,-1.25,-0.449999999999996,-0.560000000000002,-281.1,320.55,11.49,-16.7366666666667,-2.45,-1.39,-0.710000000000001,0.640000000000001,-63.68,309.45,-79.18,-29.07
10029,1,-1.53,-0.37,1.27,-0.0899999999999999,-322.8,341.4,-1.4,-5.06666666666667,-1.43,-0.36,0.940000000000005,0.0400000000000027,-24.92,288.6,39.22,-89.94
10031,1,-3.26,0.42,1.65,-0.00999999999999801,-79.48,219.74,4.17,-21.5866666666667,-3.43,0.47,0.719999999999999,0.25,181.05,50.26,137.8,-126.7
10033,1,-0.0499999999999998,0.35,0.489999999999998,-1.36,202.3,78.85,9.57,-25.1666666666667,0.38,-0.96,0.240000000000002,1,-172.83,191.15,-54.48,-41.36
10035,1,0.16,-0.45,0.57,0.780000000000001,-0.100000000000023,180.05,-0.899999999999999,-5.37666666666667,0.34,0.05,0.600000000000001,-0.830000000000002,145.44,89.95,-56.14,-112.22
10038,0,-1.39,-2.84,0.919999999999998,-0.960000000000001,-159.31,180,6.56,21.3833333333333,-1.62,-2.73,0.449999999999999,-0.859999999999999,200.69,90,32.04,32.04
10039,1,1.33,0.63,0.449999999999999,0.5,-49.58,111.55,10.85,26.7933333333333,1.18,1.38,0.0700000000000003,0.869999999999997,310.42,21.55,48.53,48.53
10041,1,-2.39,-0.14,-0.720000000000002,0.309999999999995,-168.38,180,4.28,15.3733333333333,-2.44,-0.14,-0.979999999999999,0.18,191.62,90,27.98,27.98
10044,1,0.0300000000000002,0.25,0.420000000000002,-1.3,-39.12,180,4.43000000000001,24.8433333333333,-0.97,-0.95,-0.269999999999996,-1.23,-39.12,90,45.97,45.97
10046,1,2.66,-1.16,1.34,0.140000000000001,36.12,161.94,1.62,-0.736666666666668,2.52,-0.79,1.05000000000001,-0.0500000000000007,-24.43,108.06,250.08,28.34
10048,1,0.96,-4.95,0.310000000000002,-1.4,170.9,104.47,5.98999999999999,0.103333333333332,1.49,-5.68,0.0999999999999943,-0.969999999999999,170.9,14.47,-250.4,-250.4
10050,1,0.110000000000001,-0.76,-0.709999999999994,-0.870000000000005,146.91,180,42.01,20.1933333333333,0.449999999999999,-0.96,-0.590000000000003,-0.829999999999998,146.91,90,-0.510000000000048,-0.510000000000048
10052,1,-0.61,0.14,-0.639999999999986,-0.879999999999995,-270.84,320.46,6.78,7.10333333333334,-0.399999999999999,-0.19,-0.819999999999993,-0.68,89.16,50.46,-26.77,-26.77
10056,1,-0.420000000000001,1.74,0.0400000000000205,-1.12,64.03,247.42,5.22999999999999,15.8033333333333,-0.5,2.31,-0.160000000000011,-0.920000000000002,-295.97,337.42,-22.2,-22.2
10058,1,-1.72,1.02,-0.829999999999984,-0.210000000000001,97.13,190.86,7.61,16.7633333333333,-1.8,0.59,-0.899999999999991,-0.369999999999997,-262.87,280.86,7.32,7.32
10060,1,-4.85,0.59,-0.420000000000002,0.490000000000002,-209.92,256.64,14.55,10.9833333333333,-3.6,-1.49,-0.810000000000002,0.439999999999998,-209.92,346.64,17.95,17.95
10063,1,1.36,-0.69,0.22999999999999,1.11,-360,360,8.11,-13.3266666666667,1.33,-0.92,0.239999999999995,-0.970000000000001,250,90,300.98,-10.38
10065,0,-0.97,0.56,-0.219999999999999,-0.769999999999996,40.72,220.03,-0.200000000000003,12.6433333333333,-0.57,0.19,-0.430000000000007,-0.859999999999999,40.72,310.03,323.15,323.15
10066,1,1.31,-1.24,1.18000000000001,-0.25,0.340000000000032,244.53,0.709999999999994,11.2733333333333,1.41,-0.41,1.00999999999999,-0.109999999999999,0.340000000000032,334.53,344.12,344.12
10068,1,1.11,1.09,-0.159999999999997,1.1,-360,360,10.55,-7.80666666666667,1.01,1.38,-0.269999999999996,-0.890000000000001,-27.76,90,295.62,-16.2
10070,1,0.5,-0.0600000000000001,0.960000000000008,0.579999999999998,-47.5,203.75,0.730000000000004,-4.92666666666667,0.31,1.06,0.820000000000007,-0.5,214.66,66.25,-348.06,31.99
10072,1,5.47,3.16,-0.140000000000001,-2.16,78.09,176.18,7.58,27.1533333333333,5.33,2.59,-0.240000000000002,-1.56,78.09,86.18,21.75,21.75
10074,1,-2.31,-1.88,1.42,-0.25,71.62,144.19,14.48,-25.7466666666667,-1.77,-2.15,1.09,0.170000000000002,137.28,125.81,-58.7,-29.04
10078,1,-0.67,0.64,-0.599999999999994,-0.460000000000001,-120.59,177.95,0.170000000000002,4.54333333333333,-0.13,-0.7,-0.890000000000001,-0.439999999999998,239.41,87.95,-294.65,-294.65
10080,1,0.24,3.05,0.870000000000005,-0.880000000000003,-41.3,62.5,-0.459999999999994,21.0733333333333,0.31,2.55,0.570000000000007,-0.75,-41.3,332.5,19.15,19.15
10082,1,-0.47,-1,0.629999999999995,-1.35,-247.91,258.8,7.56999999999999,25.5933333333333,-0.87,-0.96,0.359999999999999,-0.910000000000004,112.09,168.8,41.22,41.22
10084,1,1.77,-1.5,-0.150000000000006,0.789999999999999,71.7,144.15,1.97,-17.5066666666667,1.61,-1.15,-0.269999999999996,-0.939999999999998,143.62,125.85,6.77999999999997,-20.78
10086,0,-3.16,-1.15,0.270000000000003,-0.620000000000005,-145.88,180,4.04,18.7333333333333,-3.22,-0.99,0.0500000000000043,-0.950000000000003,214.12,90,-310.99,-310.99
10087,1,1.27,0.63,1,-0.439999999999998,-75.6,115.94,5.12,20.7433333333333,1.01,0.66,0.919999999999995,-0.350000000000001,284.4,25.94,-352.1,-352.1
10090,1,2.15,3.05,-0.320000000000007,0.69,112.84,123.58,-7.29000000000001,-11.2166666666667,1.61,2.76,-0.590000000000003,-0.810000000000002,65.98,146.42,86.88,-67.79
10093,1,0.37,3.19,-0.640000000000001,-0.649999999999999,301.28,29.36,23.05,-28.2266666666667,-0.4,3,-0.830000000000005,0.640000000000001,168.01,60.64,-18.42,25
10095,1,-1.33,1.34,1.19,-0.489999999999998,-50.48,205.24,-0.299999999999997,-8.97666666666667,-1.48,0.9,0.850000000000001,0.41,-167.66,244.76,-208.26,214.33
10098,1,1.18,-0.56,0.599999999999994,-0.939999999999998,-93.3,213.3,13.07,3.00333333333333,1.16,0.12,0.609999999999999,-0.809999999999999,-93.3,303.3,-0.93,-0.93
10101,1,0.390000000000001,0.26,1.09,-0.909999999999997,89.42,246.6,5.59,23.2633333333333,0.0300000000000002,1.47,0.650000000000006,-0.759999999999998,-270.58,336.6,312.48,312.48
10105,1,-3.04,-2.39,1.16,0.489999999999998,-164.94,262.47,1.26,-3.80666666666667,-2.67,-2.72,0.91,-0.379999999999999,236.54,7.53,-54.82,-34.85
10108,0,0.12,-0.26,-0.0999999999999979,1.1,104.1,248.49,-2.48,3.76333333333333,0.32,0.38,-0.52,0.919999999999998,104.1,158.49,-78.63,-78.63
10109,1,-0.96,-1.95,0.93,-0.759999999999998,-106.37,113.71,-0.34,1.94333333333333,-0.76,-3.11,0.649999999999999,-0.609999999999999,253.63,23.71,-244.58,-244.58
10111,1,1.76,0.39,NA,0.989999999999995,-6.22000000000003,222.68,NA,9.84333333333333,1.68,0.6,NA,0.879999999999995,-6.22000000000001,132.68,-12.06,-12.06
10113,1,1.11,0.11,0.850000000000001,-1.22,188.7,85.65,-0.159999999999997,-6.05666666666667,1.15,0.53,0.5,0.98,91.49,184.35,10.18,-54.77
10115,1,-0.89,4.89,-0.0799999999999983,0.869999999999997,3.13,294.5,1.7,5.67333333333334,-1.63,5.71,-0.399999999999999,0.930000000000003,3.13,204.5,-26.39,-26.39
10118,1,-0.26,0.17,-0.789999999999992,-0.490000000000002,-39.35,66.5,1.56999999999999,24.8633333333333,-0.2,-0.37,-0.860000000000014,-0.469999999999999,-39.35,336.5,12.44,12.44
10121,1,-1.35,-0.21,-0.70999999999998,-0.560000000000002,257.77,20.54,6.16,14.4733333333333,-0.7,-0.27,-0.75,-0.689999999999998,-102.23,110.54,31.44,31.44
10123,1,-0.169999999999999,4.38,1.38999999999999,0.24,90.74,134.63,3.21000000000001,-15.9866666666667,0.00999999999999979,5.17,0.88000000000001,-0.380000000000001,-253.07,315.37,-257.72,282.95
10125,1,-3.56,0.3,1.02,-0.760000000000002,-71.86,215.93,9.12,-26.6866666666667,-3.51,-0.01,0.140000000000001,0.850000000000001,-110.06,234.07,-94.06,109.88
10127,1,3.05,-0.82,0.399999999999991,1.43,39.98,84.18,4.34,11.2933333333333,2.82,0.00999999999999979,0,0.950000000000003,39.98,174.18,143.58,143.58
10131,1,0.499999999999999,1.74,-0.339999999999996,-0.700000000000003,10.66,305.52,8.31,25.7033333333333,-0.0899999999999999,2.87,-0.829999999999998,-0.359999999999999,10.66,35.52,-46.21,-46.21
10133,1,0.44,1.16,-0.359999999999999,-0.75,24.02,216.49,9.56,28.6233333333333,0.67,0.5,-0.780000000000001,-0.579999999999998,24.02,306.49,314.38,314.38
10135,1,-0.48,-1.67,1.45,-0.23,135.28,201.24,-1.77,1.46333333333333,-0.32,-1.51,0.990000000000009,0.0799999999999983,-224.72,291.24,260.56,260.56
10137,1,-0.58,2.86,-1.10000000000001,-0.760000000000002,-327.32,343.66,1.88,-6.37666666666667,-0.890000000000001,3,-1.05000000000001,0.0799999999999983,-39.2,106.34,144.5,59.71
10139,1,0.24,1.46,-0.0300000000000011,-1.14,-296.5,328.25,2.02,-10.9166666666667,0.0200000000000005,1.2,-0.150000000000006,0.880000000000001,20.26,121.75,55.98,41.88
10140,0,-0.3,1.59,-0.75,-0.33,-172.66,266.33,-1.11,-10.8166666666667,-1.2,1.78,-1.05,0.34,-110.54,183.67,-78.66,114.6
10143,1,0.9,0.0700000000000001,-0.819999999999993,0.41,-244.61,271.96,-1.33,0.493333333333332,0.83,0.38,-0.879999999999995,0.370000000000001,115.39,181.96,-23.39,-23.39
10145,1,-1.04,0.93,-0.260000000000005,-0.810000000000002,43.25,44.04,8.27,28.4933333333333,-1.15,0.78,-0.38000000000001,-0.870000000000005,43.25,314.04,6.39999999999998,6.39999999999998
10146,0,-1.47,-0.4,-0.550000000000011,-0.5,-73.45,92.67,3.01000000000001,23.7433333333333,-1.56,-0.16,-0.920000000000002,-0.470000000000006,286.55,2.67,27.93,27.93
10149,1,0.0600000000000005,-3.72,1.13,0.75,-21.6,190.8,11.86,-10.0466666666667,0.14,-2.44,0.780000000000001,-0.419999999999998,99.74,79.2,153.8,-65.17
10151,1,1.64,-0.21,-0.609999999999999,0.57,134.32,106.56,7.01000000000001,21.2033333333333,1.68,-0.27,-0.689999999999998,0.729999999999997,134.32,16.56,-5.48,-5.48
10152,0,1.36,-2.52,-0.0600000000000023,0.420000000000002,-16.49,104.82,7.31999999999999,15.8533333333333,1.58,-2.07,-0.700000000000003,0.350000000000001,343.51,14.82,-295.58,-295.58
10153,0,-1.9,1.82,0.129999999999995,-0.829999999999998,-18.42,97.83,6.62,10.1333333333333,-2.15,2.1,-0.269999999999996,-1.08000000000001,341.58,7.83,-322.38,-322.38
10156,1,-1.11,-0.73,-0.840000000000003,-0.399999999999999,-325.56,342.78,5,-8.69666666666667,-0.81,-1.39,-0.909999999999997,0.48,31.14,287.22,-122.62,9.96000000000001
10158,1,-0.91,-2.49,-0.549999999999997,-0.449999999999999,128.94,115.53,-0.719999999999999,-12.2866666666667,-0.79,-1.55,-0.839999999999996,0.57,-101.99,154.47,75.8,-54.61
10160,1,-1.4,-2,0.130000000000003,-1.6,-55.24,81.65,0.689999999999998,26.3533333333333,-1.45,-1.34,-0.280000000000001,-1.52999999999999,-55.24,351.65,34.36,34.36
10163,1,-1.36,-1.89,1.1,-0.189999999999998,-117.14,171.96,-0.170000000000002,6.24333333333333,-1.24,-1.08,0.949999999999996,-0.270000000000003,242.86,81.96,-328.71,-328.71
10165,1,-0.15,0.61,-0.739999999999995,-0.569999999999997,-14.93,89.92,-2.01000000000001,4.79333333333333,-0.31,0.65,-0.840000000000003,-0.52,345.07,-0.0799999999999841,-239.99,-239.99
10167,1,-1.35,1.41,-0.720000000000013,0.100000000000001,-204.67,336.66,-1.65000000000001,17.5133333333333,-1.42,0.85,-1.01000000000001,-0.00999999999999801,-204.67,246.66,-282.46,-282.46
10169,1,-1.38,-1.19,1.18000000000001,-0.0499999999999972,-14.3,187.15,1.92,-1.84666666666667,-1.22,-1.75,1.03,0.190000000000001,250.07,82.85,-259.3,47.77
10170,0,-1.19,1.09,0.819999999999993,-0.809999999999999,22.46,168.77,0.939999999999998,-1.06666666666667,-0.91,-0.34,0.340000000000003,0.93,229.86,101.23,249.94,-210.11
10172,1,1.72,-1.52,0.0700000000000003,-1.26000000000001,-59.67,285.48,24.11,14.8533333333333,2.23,-2.07,0.0700000000000003,-0.919999999999995,300.33,15.48,-16.58,-16.58
10174,1,-2.27,0.77,1.1,0.310000000000002,196.93,154.55,4.25,8.34333333333333,-2.02,0.14,0.82,0.25,-163.07,244.55,38.88,38.88
10177,1,0.58,1.09,0.0900000000000034,-0.900000000000002,-229.06,294.53,-0.269999999999996,-7.96666666666667,0.84,0.93,0.13000000000001,0.960000000000001,4.59,155.47,247.42,-76.84
10179,1,0.35,0.18,0.679999999999993,-0.890000000000001,-131.84,258.27,4.55,23.9133333333333,0.24,0.66,0.649999999999991,-0.870000000000005,-131.84,348.27,-5.97999999999996,-5.97999999999996
