"","nflId","game_play_frameId","gameId","playId","frameId","displayName","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event","game_playId","dist_from_ball","defensiveTeam","on_defense","has_ball","dist_from_bc"
"1",41235,"2022091113-1017-40",2022091113,1017,40,"Anthony Barr","2022-09-11 21:03:58.799999",42,"DAL","left",66.7,25.87,2.97,1.22,0.3,176.11,218.63,"first_contact","2022091113-1017",0,"DAL",1,0,0.9404786
"4",43533,"2022091113-1038-35",2022091113,1038,35,"Jayron Kearse","2022-09-11 21:04:33.799999",27,"DAL","left",63.42,25,2.69,1.32,0.27,57.57,6.6,"first_contact","2022091113-1038",0,"DAL",1,0,1.080463
"3",43533,"2022091113-1059-40",2022091113,1059,40,"Jayron Kearse","2022-09-11 21:05:13.000000",27,"DAL","left",57.68,42.49,3.33,3.26,0.34,90.61,39.46,"first_contact","2022091113-1059",0,"DAL",1,0,0.97
"7",46185,"2022091113-1080-31",2022091113,1080,31,"Dorance Armstrong","2022-09-11 21:05:56.200000",92,"DAL","left",56.68,27.78,0.82,0.45,0.08,43.29,359.03,"first_contact","2022091113-1080",0,"DAL",1,0,0.3061046
"5",44904,"2022091113-1101-7",2022091113,1101,7,"Jourdan Lewis","2022-09-11 21:06:35.299999",2,"DAL","left",42.96,12.56,2.26,1.37,0.22,348.85,126.47,"first_contact","2022091113-1101",0,"DAL",1,0,1.779017
"11",53504,"2022091113-1125-27",2022091113,1125,27,"Osa Odighizuwa","2022-09-11 21:07:10.299999",97,"DAL","left",42.4,21.6,1.47,1.68,0.14,288.6,160.39,"first_contact","2022091113-1125",0,"DAL",1,0,0.9408507
"9",52459,"2022091113-1146-16",2022091113,1146,16,"Trevon Diggs","2022-09-11 21:07:53.599999",7,"DAL","left",37.83,5.08,3.57,1.95,0.36,50.26,111.1,"first_contact","2022091113-1146",0,"DAL",1,0,0.762168
"8",47841,"2022091113-1196-40",2022091113,1196,40,"Trysten Hill","2022-09-11 21:09:21.099999",72,"DAL","left",23.85,21.52,0.5,0.67,0.05,87.37,81.51,"first_contact","2022091113-1196",0,"DAL",1,0,1.026109
"6",44904,"2022091113-1217-15",2022091113,1217,15,"Jourdan Lewis","2022-09-11 21:09:59.799999",2,"DAL","left",18.53,39.63,3.87,1.9,0.42,115.66,44.76,"first_contact","2022091113-1217",0,"DAL",1,0,1.266057
"41",44827,"2022091113-1389-53",2022091113,1389,53,"Malik Hooker","2022-09-11 21:18:42.799999",28,"DAL","left",22.39,52.01,8.1,4.48,0.81,5.12,347.14,"first_contact","2022091113-1389",0,"DAL",1,0,0.8584288
"2",43478,"2022091113-1415-47",2022091113,1415,47,"Anthony Brown","2022-09-11 21:19:20.599999",3,"DAL","left",16.87,41.26,2.77,3.48,0.28,90,4.82,"first_contact","2022091113-1415",0,"DAL",1,0,0.642028
"91",53504,"2022091113-1436-31",2022091113,1436,31,"Osa Odighizuwa","2022-09-11 21:20:01.700000",97,"DAL","left",14.21,27.74,0.75,1.55,0.08,303.76,108.05,"first_contact","2022091113-1436",0,"DAL",1,0,0.87
"31",43478,"2022091113-1689-12",2022091113,1689,12,"Anthony Brown","2022-09-11 21:32:39.500000",3,"DAL","left",95.57,51.51,4.58,3.01,0.46,90,349.61,"first_contact","2022091113-1689",0,"DAL",1,0,1.259286
"61",46088,"2022091113-1718-7",2022091113,1718,7,"Leighton Vander Esch","2022-09-11 21:33:06.000000",55,"DAL","left",94.11,26.37,4.14,2.61,0.42,110.03,61.37,"first_contact","2022091113-1718",0,"DAL",1,0,0.7017834
"81",46088,"2022091113-1742-7",2022091113,1742,7,"Leighton Vander Esch","2022-09-11 21:33:29.000000",55,"DAL","left",87.99,26.43,3.41,0.45,0.34,16.78,3.07,"first_contact","2022091113-1742",0,"DAL",1,0,1.433911
"42",44827,"2022091113-1984-37",2022091113,1984,37,"Malik Hooker","2022-09-11 21:55:52.099999",28,"DAL","right",37.73,33.52,2.21,5.17,0.23,252.23,325.34,"first_contact","2022091113-1984",0,"DAL",1,0,0.8640023
"10",53504,"2022091113-2009-31",2022091113,2009,31,"Osa Odighizuwa","2022-09-11 21:56:30.299999",97,"DAL","right",44.92,29.46,0.41,0.09,0.04,43.13,229.1,"first_contact","2022091113-2009",0,"DAL",1,0,0.9198369
"62",46088,"2022091113-2030-14",2022091113,2030,14,"Leighton Vander Esch","2022-09-11 21:57:08.400000",55,"DAL","right",46.8,16.71,4.15,5.92,0.43,354.56,239.03,"first_contact","2022091113-2030",0,"DAL",1,0,0.8234683
"63",46185,"2022091113-2356-45",2022091113,2356,45,"Dorance Armstrong","2022-09-11 22:13:45.700000",92,"DAL","right",36.23,42.47,7.18,3.06,0.76,337.42,36.83,"first_contact","2022091113-2356",0,"DAL",1,0,0.9338094
"92",52459,"2022091113-2377-42",2022091113,2377,42,"Trevon Diggs","2022-09-11 22:14:20.299999",7,"DAL","right",47.17,40.97,2.41,4.04,0.25,242.12,18.13,"first_contact","2022091113-2377",0,"DAL",1,0,1.464548
"82",47996,"2022091113-2398-45",2022091113,2398,45,"Donovan Wilson","2022-09-11 22:15:00.500000",6,"DAL","right",64.84,37.6,1.59,5.15,0.15,325.13,13.34,"first_contact","2022091113-2398",0,"DAL",1,0,2.028694
"83",46185,"2022091113-2446-11",2022091113,2446,11,"Dorance Armstrong","2022-09-11 22:16:30.799999",92,"DAL","right",73.51,32.61,2.89,0.33,0.3,194.24,177.32,"first_contact","2022091113-2446",0,"DAL",1,0,1.473296
"32",43478,"2022091113-2470-8",2022091113,2470,8,"Anthony Brown","2022-09-11 22:17:18.099999",3,"DAL","right",84.23,15.53,4.29,2.95,0.45,90,24.27,"first_contact","2022091113-2470",0,"DAL",1,0,0.3716181
"33",43533,"2022091113-2494-37",2022091113,2494,37,"Jayron Kearse","2022-09-11 22:18:01.200000",27,"DAL","right",84.84,37.6,2.36,2.98,0.25,167.14,37.28,"first_contact","2022091113-2494",0,"DAL",1,0,0.734983
"21",43478,"2022091113-2518-9",2022091113,2518,9,"Anthony Brown","2022-09-11 22:21:12.500000",3,"DAL","right",98.55,18.86,8.01,3.22,0.8,90,32.19,"first_contact","2022091113-2518",0,"DAL",1,0,0.9300538
"43",44827,"2022091113-2933-49",2022091113,2933,49,"Malik Hooker","2022-09-11 22:39:48.400000",28,"DAL","left",68.96,22.46,4.9,4.55,0.47,124.55,67.52,"first_contact","2022091113-2933",0,"DAL",1,0,0.9152595
"64",44904,"2022091113-2954-11",2022091113,2954,11,"Jourdan Lewis","2022-09-11 22:40:33.400000",2,"DAL","left",61.88,41.74,1.5,1.94,0.14,95.19,0.37,"first_contact","2022091113-2954",0,"DAL",1,0,8.952374
"44",44904,"2022091113-3139-12",2022091113,3139,12,"Jourdan Lewis","2022-09-11 22:49:49.400000",2,"DAL","left",76.42,46.03,7.52,14.1,0.82,86.25,357.74,"first_contact","2022091113-3139",0,"DAL",1,0,4.765228
"71",47996,"2022091113-3173-36",2022091113,3173,36,"Donovan Wilson","2022-09-11 22:50:29.400000",6,"DAL","left",75.44,30.66,2.25,2.53,0.23,87.22,44.63,"first_contact","2022091113-3173",0,"DAL",1,0,0.3104835
"93",53441,"2022091113-3211-40",2022091113,3211,40,"Micah Parsons","2022-09-11 22:52:29.599999",11,"DAL","left",74.46,47.74,9.14,3.74,0.92,332.5,349.22,"first_contact","2022091113-3211",0,"DAL",1,0,0.9420191
"34",43478,"2022091113-3642-47",2022091113,3642,47,"Anthony Brown","2022-09-11 23:08:36.299999",3,"DAL","left",63.58,44.76,2.08,1.65,0.24,90,24.99,"first_contact","2022091113-3642",0,"DAL",1,0,1.149826
"94",53441,"2022091113-3684-33",2022091113,3684,33,"Micah Parsons","2022-09-11 23:09:46.799999",11,"DAL","left",64.09,24.2,1.08,1.97,0.1,321.66,316.89,"first_contact","2022091113-3684",0,"DAL",1,0,0.8300602
"95",53504,"2022091113-3722-43",2022091113,3722,43,"Osa Odighizuwa","2022-09-11 23:10:55.200000",97,"DAL","left",68.04,16.99,5.06,3.55,0.52,273.95,146.09,"first_contact","2022091113-3722",0,"DAL",1,0,1.04561
"65",46185,"2022091113-413-18",2022091113,413,18,"Dorance Armstrong","2022-09-11 20:36:43.700000",92,"DAL","right",34.03,38.69,6.86,3.27,0.71,85.55,68.62,"first_contact","2022091113-413",0,"DAL",1,0,1.140614
"66",46185,"2022091113-444-29",2022091113,444,29,"Dorance Armstrong","2022-09-11 20:37:20.400000",92,"DAL","right",53.83,32.8,2.31,3.52,0.23,283.42,22.45,"first_contact","2022091113-444",0,"DAL",1,0,0.6122091
"35",43533,"2022091113-465-14",2022091113,465,14,"Jayron Kearse","2022-09-11 20:38:00.000000",27,"DAL","right",75.27,20.01,4.93,2.99,0.51,206.41,165.88,"first_contact","2022091113-465",0,"DAL",1,0,0.3847077
"45",44827,"2022091113-489-39",2022091113,489,39,"Malik Hooker","2022-09-11 20:38:38.200000",28,"DAL","right",80.79,34.79,6.15,8.24,0.61,193.75,353.05,"first_contact","2022091113-489",0,"DAL",1,0,1.16297
"84",52490,"2022091113-510-29",2022091113,510,29,"Neville Gallimore","2022-09-11 20:39:16.900000",96,"DAL","right",83.08,34.55,2.42,0.59,0.25,339.37,17.87,"first_contact","2022091113-510",0,"DAL",1,0,0.9128527
"12",41263,"2022091113-531-26",2022091113,531,26,"Demarcus Lawrence","2022-09-11 20:39:58.099999",90,"DAL","right",84.1,27.46,1.51,2.68,0.16,231.27,230.42,"first_contact","2022091113-531",0,"DAL",1,0,1.064707
"72",47996,"2022091113-732-20",2022091113,732,20,"Donovan Wilson","2022-09-11 20:51:19.700000",6,"DAL","right",63.88,12.01,5.69,3.27,0.54,258,188.43,"first_contact","2022091113-732",0,"DAL",1,0,1.76264
"101",53441,"2022091113-756-55",2022091113,756,55,"Micah Parsons","2022-09-11 20:51:54.000000",11,"DAL","right",77.8,45.57,9.65,2.66,0.97,9.14,40.13,"first_contact","2022091113-756",0,"DAL",1,0,0.8271034
"51",46088,"2022091113-803-32",2022091113,803,32,"Leighton Vander Esch","2022-09-11 20:53:14.200000",55,"DAL","right",85.64,33.41,1.84,4.45,0.17,260.58,76.84,"first_contact","2022091113-803",0,"DAL",1,0,1.336001
"46",42427,"2022091112-1382-11",2022091112,1382,11,"Jordan Hicks","2022-09-11 17:30:51.400000",58,"MIN","right",37.81,4.12,7.01,2.61,0.68,219.79,191.36,"first_contact","2022091112-1382",0,"MIN",1,0,0.7940403
"13",37078,"2022091112-1946-7",2022091112,1946,7,"Patrick Peterson","2022-09-11 18:08:48.700000",7,"MIN","right",29.5,11.18,2.38,4.38,0.24,258.11,245.85,"first_contact","2022091112-1946",0,"MIN",1,0,0.595483
"73",44867,"2022091112-1994-29",2022091112,1994,29,"Dalvin Tomlinson","2022-09-11 18:10:00.500000",94,"MIN","right",38.5,29.57,1.01,2,0.11,269.08,127.97,"first_contact","2022091112-1994",0,"MIN",1,0,0.671193
"47",42427,"2022091112-2225-31",2022091112,2225,31,"Jordan Hicks","2022-09-11 18:20:47.000000",58,"MIN","right",35.1,19.14,3.61,3.27,0.37,230.5,203.55,"first_contact","2022091112-2225",0,"MIN",1,0,1.555892
"96",52525,"2022091112-2246-28",2022091112,2246,28,"D.J. Wonnum","2022-09-11 18:21:27.200000",98,"MIN","right",36.04,30.98,2.54,2.56,0.27,210.3,350.88,"first_contact","2022091112-2246",0,"MIN",1,0,1.570637
"22",38559,"2022091112-2267-17",2022091112,2267,17,"Harrison Smith","2022-09-11 18:25:14.900000",22,"MIN","right",77.01,48.4,6.39,4.11,0.63,275,346.22,"first_contact","2022091112-2267",0,"MIN",1,0,0.9091755
"48",42427,"2022091112-2294-48",2022091112,2294,48,"Jordan Hicks","2022-09-11 18:25:57.200000",58,"MIN","right",84.08,45.73,6.68,4.13,0.67,32.08,41.21,"first_contact","2022091112-2294",0,"MIN",1,0,0.6906519
"23",38559,"2022091112-2315-65",2022091112,2315,65,"Harrison Smith","2022-09-11 18:26:44.099999",22,"MIN","right",95.16,50.47,6.96,2.11,0.7,311.53,348,"first_contact","2022091112-2315",0,"MIN",1,0,1.085772
"111",54583,"2022091112-2346-7",2022091112,2346,7,"Akayleb Evans","2022-09-11 18:27:28.900000",21,"MIN","right",108.09,36.05,5.9,1.07,0.59,228.68,192.27,"first_contact","2022091112-2346",0,"MIN",1,0,0.5032892
"36",42388,"2022091112-2370-29",2022091112,2370,29,"Eric Kendricks","2022-09-11 18:28:16.500000",54,"MIN","right",108.2,32.45,2.87,2.39,0.27,257.48,5.69,"first_contact","2022091112-2370",0,"MIN",1,0,1.253994
"14",37078,"2022091112-2612-19",2022091112,2612,19,"Patrick Peterson","2022-09-11 18:40:49.500000",7,"MIN","right",30.39,8.01,3.23,3.23,0.31,284.07,76.14,"first_contact","2022091112-2612",0,"MIN",1,0,0.4427189
"37",42388,"2022091112-2640-28",2022091112,2640,28,"Eric Kendricks","2022-09-11 18:41:28.099999",54,"MIN","right",37.24,25.78,1.93,1.83,0.19,228.31,119.84,"first_contact","2022091112-2640",0,"MIN",1,0,0.8621485
"112",53554,"2022091112-2699-19",2022091112,2699,19,"Camryn Bynum","2022-09-11 18:45:48.000000",24,"MIN","left",65.08,51.56,4.61,2.81,0.46,26.78,350.77,"first_contact","2022091112-2699",0,"MIN",1,0,0.6612866
